ID,Description,Category,Duration,Download Link
NHU05104088,Nestling bill-snapping.,Uncategorized,19786.667,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05104088.wav.zip?download&rename=BBC_Nestling_bill_snapping__NHU05104088
NHU05104095,Cu song. Other birds in distance.,Uncategorized,36786.667,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05104095.wav.zip?download&rename=BBC_Cu_song__Other_birds_in_distan_NHU05104095
NHU05104159,Cu grunts from a female.,Uncategorized,37120,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05104159.wav.zip?download&rename=BBC_Cu_grunts_from_a_female__NHU05104159
NHU05104173,Song,Uncategorized,107706.667,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05104173.wav.zip?download&rename=BBC_Song_NHU05104173
NHU05104193,Adults feeding young,Uncategorized,111984.48999999999,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05104193.wav.zip?download&rename=BBC_Adults_feeding_young_NHU05104193
NHU05104233,F.p.pealei Extreme distress call cu.,Uncategorized,51020,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05104233.wav.zip?download&rename=BBC_F_p_pealei_Extreme_distress_ca_NHU05104233
NHU05104236,Calls.,Uncategorized,23280,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05104236.wav.zip?download&rename=BBC_Calls__NHU05104236
NHU05104240,EVENING With colobus monkeys,Uncategorized,392430.113,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05104240.wav.zip?download&rename=BBC_EVENING_With_colobus_monkeys_NHU05104240
NHU05104246,"LATE SPRING/SUMMER Swift flowing stream with distant willow warbler, chaffinch, whitethroat and distant sheep",Uncategorized,232113.515,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05104246.wav.zip?download&rename=BBC_LATE_SPRING_SUMMER_Swift_flowi_NHU05104246
NHU05104247,"LATE SPRING/SUMMER With ring ouzel alarm calls and song raven, curlew, red grouse, meadow pipit, sheep and flies, also stream in b/g NB: Some bird calls added",Uncategorized,274601.678,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05104247.wav.zip?download&rename=BBC_LATE_SPRING_SUMMER_With_ring_o_NHU05104247
NHU05104248,ANY SEASON,Uncategorized,153645.624,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05104248.wav.zip?download&rename=BBC_ANY_SEASON_NHU05104248
NHU05104249,"LATE SPRING/SUMMER Mainly neutral atmosphere with distant ring ouzel alarm call and song, raven and sheep, also stream murmuring in b/g",Uncategorized,258691.42900000003,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05104249.wav.zip?download&rename=BBC_LATE_SPRING_SUMMER_Mainly_neut_NHU05104249
NHU05104250,"LATE SPRING With woodland birds, song thrush, willow warbler, marsh tits, wren and chaffinch",Uncategorized,378244.036,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05104250.wav.zip?download&rename=BBC_LATE_SPRING_With_woodland_bird_NHU05104250
NHU05104275,"DAY with nightingale, willow warbler and garden warbler",Uncategorized,63240.316999999995,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05104275.wav.zip?download&rename=BBC_DAY_with_nightingale__willow_w_NHU05104275
NHU05104284,Cu alarm calls in colony. Alarm calls mcu from lesser black-backed gulls. Distant skylark.,Uncategorized,138576.372,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05104284.wav.zip?download&rename=BBC_Cu_alarm_calls_in_colony__Alar_NHU05104284
NHU05104289,Cu buzzing from bee held in hand.,Uncategorized,15551.973,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05104289.wav.zip?download&rename=BBC_Cu_buzzing_from_bee_held_in_ha_NHU05104289
NHU05104304,Song sheep bells in b/g,Uncategorized,91332.06300000001,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05104304.wav.zip?download&rename=BBC_Song_sheep_bells_in_b_g_NHU05104304
NHU05011013,Trumpeting display calls from cranes. Very quiet peaceful atmosphere from 0m22s. Wingbeats as crane takes off 1m24s. Also calls from redshank & bar headed geese.,Uncategorized,110542.494,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011013.wav.zip?download&rename=BBC_Trumpeting_display_calls_from__NHU05011013
NHU05011016,"Cu shrill song from pipit (exact species unknown). Very clear sounds. B/g very quiet, occasional slight wind.",Uncategorized,69870.93000000001,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011016.wav.zip?download&rename=BBC_Cu_shrill_song_from_pipit__exa_NHU05011016
NHU05011019,"Busy, loud atmosphere of colony of bar headed geese. Honking calls from geese. Also calls from Indian black gulls.",Uncategorized,82734.603,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011019.wav.zip?download&rename=BBC_Busy__loud_atmosphere_of_colon_NHU05011019
NHU05011020,Md to distant wailing courtship calls & clucking from snowcock. Also calls from other bird species. B/g sounds of wind. N.B. Exact location of this recording is unknown. Also suitable as an alpine atmosphere.,Uncategorized,140552.472,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011020.wav.zip?download&rename=BBC_Md_to_distant_wailing_courtshi_NHU05011020
NHU05011021,Md to distant clucking calls from snowcocks. Mcu calls from another (unidentified) bird species. B/g sounds of wind. N.B. Exact location of this recording is unknown. Occasional low level bumps on recording.,Uncategorized,41261.95,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011021.wav.zip?download&rename=BBC_Md_to_distant_clucking_calls_f_NHU05011021
NHU05011023,Md to distant clucking calls from snowcocks. Also good wailing courtship calls. B/g sounds of wind & calls from other bird species. N.B. Exact location of this recording is unknown. Also suitable as an alpine atmosphere.,Uncategorized,146001.723,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011023.wav.zip?download&rename=BBC_Md_to_distant_clucking_calls_f_NHU05011023
NHU05011025,Wailing courtship calls from snowcocks 0m17s. Md to distant clucking calls from snowcocks. Many calls from other (unidentified) bird species. N.B. Exact location of this recording is unknown. Also suitable as an alpine atmosphere.,Uncategorized,54569.161,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011025.wav.zip?download&rename=BBC_Wailing_courtship_calls_from_s_NHU05011025
NHU05011026,"Cu, clear calls from owl. Quiet background. Occasional very distant, faint replies. N.B. Date of this recording is unknown.",Uncategorized,70722.54,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011026.wav.zip?download&rename=BBC_Cu__clear_calls_from_owl__Quie_NHU05011026
NHU05011028,"Md, clear calls from owl. Quiet background. N.B. Date of this recording is unknown.",Uncategorized,103211.338,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011028.wav.zip?download&rename=BBC_Md__clear_calls_from_owl__Quie_NHU05011028
NHU05011030,"Md, clucking calls from owl. Also a more typical call. Quiet background. N.B. Date of this recording is unknown.",Uncategorized,45911.746,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011030.wav.zip?download&rename=BBC_Md__clucking_calls_from_owl__A_NHU05011030
NHU05011031,Various calls from pair of owls. Includes hoots & 'kewick' calls. Distant dog at end of recording. N.B. Date of this recording is unknown.,Uncategorized,59162.358,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011031.wav.zip?download&rename=BBC_Various_calls_from_pair_of_owl_NHU05011031
NHU05011035,Mcu staccato grunts from nest building individual. Some gentle sounds of movement & splashing water. B/g calls from other bird species.,Uncategorized,103964.898,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011035.wav.zip?download&rename=BBC_Mcu_staccato_grunts_from_nest__NHU05011035
NHU05011047,Mcu piping calls from two plovers. Md fly buzz. N.B. Exact date & location of this recording is unknown.,Uncategorized,24605.986,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011047.wav.zip?download&rename=BBC_Mcu_piping_calls_from_two_plov_NHU05011047
NHU05011056,Mcu peeps from penguin chick. B/g calls from other chicks & sounds of the sea.,Uncategorized,55529.524000000005,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011056.wav.zip?download&rename=BBC_Mcu_peeps_from_penguin_chick___NHU05011056
NHU05011058,Recorded at dawn. Fairly busy with calls from many bird species & insect stridulation. Sounds of dripping rain. Occasional distant calls from capuchin bird. N.B. Exact location of this recording is unknown.,Uncategorized,93637.91399999999,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011058.wav.zip?download&rename=BBC_Recorded_at_dawn__Fairly_busy__NHU05011058
NHU05011072,Md moaning display calls from males at lek. B/g calls from howler monkeys. Also insect stridulation & calls from other bird species. Also suitable as a eerie atmosphere. Sounds of water drips. N.B. Details of reserve unknown.,Uncategorized,122482.902,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011072.wav.zip?download&rename=BBC_Md_moaning_display_calls_from__NHU05011072
NHU05011076,"Distant calls from a group. Other birds in distance. Slight wind in trees, insects.",Uncategorized,75508.20899999999,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011076.wav.zip?download&rename=BBC_Distant_calls_from_a_group__Ot_NHU05011076
NHU05011077,Distant-md calls from a group. Other birds calling.,Uncategorized,130167.98199999999,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011077.wav.zip?download&rename=BBC_Distant_md_calls_from_a_group__NHU05011077
NHU05011091,Fairly busy with many calls from various bird species. Also sounds of wind in forest. Occasional cockerel & engine from nearby village. Some bangs & taps from rufous woodpecker.,Uncategorized,129639.56899999999,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011091.wav.zip?download&rename=BBC_Fairly_busy_with_many_calls_fr_NHU05011091
NHU05011097,Mcu & cu coarse screeches from apostle birds. Also some sounds of strong wind. N.B. Exact date & location of this recording are unknown.,Uncategorized,46743.22,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011097.wav.zip?download&rename=BBC_Mcu___cu_coarse_screeches_from_NHU05011097
NHU05011098,"Mcu to md coarse, shrill & trilling calls from apostle birds. B/g sounds of wind. Resonant calls 0m33s, 0m45s (species unknown). N.B. Exact date & location of this recording are unknown.",Uncategorized,54617.687,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011098.wav.zip?download&rename=BBC_Mcu_to_md_coarse__shrill___tri_NHU05011098
NHU05011100,"Cu calls between group of birds. Coarse screeching, croaking & clicking sounds. B/g sounds of wind & calls from other bird species. N.B. Exact date & location of this recording are unknown.",Uncategorized,42538.866,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011100.wav.zip?download&rename=BBC_Cu_calls_between_group_of_bird_NHU05011100
NHU05011105,Recorded in afternoon. Cu sounds of ringing stridulation from individual insect. B/g sounds of rainforest atmosphere.,Uncategorized,41361.27,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011105.wav.zip?download&rename=BBC_Recorded_in_afternoon__Cu_soun_NHU05011105
NHU05011109,Recorded at dawn. Sounds of insects stridulating & buzzing. Md to distant calls from various bird species including black winged Oriole. Occasional drips.,Uncategorized,167149.66,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011109.wav.zip?download&rename=BBC_Recorded_at_dawn__Sounds_of_in_NHU05011109
NHU05011112,Busy atmosphere in forest. Mcu to b/g calls from more than one species of dove/pigeon. Also many calls from other bird species. Sounds of insects.,Uncategorized,116551.202,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011112.wav.zip?download&rename=BBC_Busy_atmosphere_in_forest__Mcu_NHU05011112
NHU05011121,Mcu to b/g calls from breeding colony of White cheeked & Crested terns. Distant roar of sea.,Uncategorized,84259.887,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011121.wav.zip?download&rename=BBC_Mcu_to_b_g_calls_from_breeding_NHU05011121
NHU05011122,Busy atmosphere. Mcu to b/g calls from breeding colony of White cheeked & Crested terns. Some calls quite animated. B/g roar of sea.,Uncategorized,125189.22899999999,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011122.wav.zip?download&rename=BBC_Busy_atmosphere__Mcu_to_b_g_ca_NHU05011122
NHU05011128,Recorded in evening. Md chorus of calls from colony of weavers. Occasional mcu calls. Some periods of relative quiet. N.B. Exact date & location of this recording is unknown.,Uncategorized,119164.49,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05011128.wav.zip?download&rename=BBC_Recorded_in_evening__Md_chorus_NHU05011128
