ID,Description,Category,Duration,Download Link
NHU05096025,Excited calls CU from a flock. NB Recorded between 01/04/87 and 06/04/87,Uncategorized,319966.44,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05096025.wav.zip?download&rename=BBC_Excited_calls_CU_from_a_flock__NHU05096025
NHU05096026,Excited calls CU from a flock. River in b/g. NB Recorded between 01/04/87 and 06/04/87,Uncategorized,109059.274,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05096026.wav.zip?download&rename=BBC_Excited_calls_CU_from_a_flock__NHU05096026
NHU05096024,"Calls CU from a flock, excited calls. NB Recorded between 01/04/87 and 06/04/87",Uncategorized,67175.828,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05096024.wav.zip?download&rename=BBC_Calls_CU_from_a_flock__excited_NHU05096024
NHU05096022,Calls MP from a feeding flock. Slight hum. NB Recorded between 01/04/87 and 06/04/87,Uncategorized,94690.159,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05096022.wav.zip?download&rename=BBC_Calls_MP_from_a_feeding_flock__NHU05096022
NHU05096019,Calls MCU from flock feeding in a cornfield at 50-100m distance. Windy b/g. NB Recorded between 01/04/87 and 06/04/87,Uncategorized,194013.33299999998,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05096019.wav.zip?download&rename=BBC_Calls_MCU_from_flock_feeding_i_NHU05096019
NHU05096021,Calls CU from flock at dawn. Western meadowlark occasionally sings in distance. NB Recorded between 01/04/87 and 06/04/87,Uncategorized,66441.973,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05096021.wav.zip?download&rename=BBC_Calls_CU_from_flock_at_dawn__W_NHU05096021
NHU05096027,"Excited calls CU from near birds in a flock, and then mass calling from flock. NB Recorded between 01/04/87 and 06/04/87",Uncategorized,186855.76,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05096027.wav.zip?download&rename=BBC_Excited_calls_CU_from_near_bir_NHU05096027
NHU05096020,Calls MCU from a group of close feeding birds with main flock in b/g. Windy. NB Recorded between 01/04/87 and 06/04/87,Uncategorized,249342.744,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05096020.wav.zip?download&rename=BBC_Calls_MCU_from_a_group_of_clos_NHU05096020
NHU05096023,Calls MCU from birds on a sandbar in river. More birds fly in. Hissy b/g. NB Recorded between 01/04/87 and 06/04/87,Uncategorized,94418.073,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05096023.wav.zip?download&rename=BBC_Calls_MCU_from_birds_on_a_sand_NHU05096023
07054037,"3 metal crashes (84B) 04"", 10"", 10"".",Uncategorized,31453.333000000002,https://sound-effects-media.bbcrewind.co.uk/zip/07054037.wav.zip?download&rename=BBC_3_metal_crashes__84B__04___10__07054037
NHU05092041,"Colony. Early morning as bats return to roosting trees on coast, Cu shrill calls from younger bats squabbling, adults in b/g. Continuation of Track 09, here b/g with more bird song, mainly red vented bulbuls,crickets more noticeable. Distant pigeon calls.",Uncategorized,190604.104,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05092041.wav.zip?download&rename=BBC_Colony__Early_morning_as_bats__NHU05092041
07070066,"Pick-up, dial 10 digits.",Uncategorized,12386.667,https://sound-effects-media.bbcrewind.co.uk/zip/07070066.wav.zip?download&rename=BBC_Pick_up__dial_10_digits__07070066
07002235,"Anne Boleyn's Clock, chimes & 10 o'clock",Uncategorized,45480,https://sound-effects-media.bbcrewind.co.uk/zip/07002235.wav.zip?download&rename=BBC_Anne_Boleyn_s_Clock__chimes____07002235
07056107,Small restaurant - 10 people.,Uncategorized,256000,https://sound-effects-media.bbcrewind.co.uk/zip/07056107.wav.zip?download&rename=BBC_Small_restaurant___10_people__07056107
07057059,Trap door opened (from 10 feet away).,Uncategorized,7133.3330000000005,https://sound-effects-media.bbcrewind.co.uk/zip/07057059.wav.zip?download&rename=BBC_Trap_door_opened__from_10_feet_07057059
NHU05100025,Excited nestlings (10 days old),Uncategorized,58973.333,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05100025.wav.zip?download&rename=BBC_Excited_nestlings__10_days_old_NHU05100025
07055106,Exterior - passing overhead (10 seater).,Uncategorized,47026.667,https://sound-effects-media.bbcrewind.co.uk/zip/07055106.wav.zip?download&rename=BBC_Exterior___passing_overhead__1_07055106
07025007,"VC 10, Aircraft,exterior, take off, L - R",Uncategorized,52781.315,https://sound-effects-media.bbcrewind.co.uk/zip/07025007.wav.zip?download&rename=BBC_VC_10__Aircraft_exterior__take_07025007
07066178,"10 bells ringing, Lichfield Cathedral.",Uncategorized,176866.66700000002,https://sound-effects-media.bbcrewind.co.uk/zip/07066178.wav.zip?download&rename=BBC_10_bells_ringing__Lichfield_Ca_07066178
07055107,Exterior - one circling (10 seater).,Uncategorized,108466.667,https://sound-effects-media.bbcrewind.co.uk/zip/07055107.wav.zip?download&rename=BBC_Exterior___one_circling__10_se_07055107
07002193,"Outdoor clock striking, 10 o'clock",Uncategorized,24000,https://sound-effects-media.bbcrewind.co.uk/zip/07002193.wav.zip?download&rename=BBC_Outdoor_clock_striking__10_o_c_07002193
07055108,Exterior - two circling (10 seater).,Uncategorized,184973.33299999998,https://sound-effects-media.bbcrewind.co.uk/zip/07055108.wav.zip?download&rename=BBC_Exterior___two_circling__10_se_07055108
07055105,Interior - constant flight (10 seater).,Uncategorized,183106.667,https://sound-effects-media.bbcrewind.co.uk/zip/07055105.wav.zip?download&rename=BBC_Interior___constant_flight__10_07055105
07003011,Lively Spanish conversation indoors. 10 people.,Uncategorized,363540,https://sound-effects-media.bbcrewind.co.uk/zip/07003011.wav.zip?download&rename=BBC_Lively_Spanish_conversation_in_07003011
07002151,Big Ben recorded in 1969. 10,Uncategorized,76800,https://sound-effects-media.bbcrewind.co.uk/zip/07002151.wav.zip?download&rename=BBC_Big_Ben_recorded_in_1969__10_07002151
07063062,"Waterfall (10 metres) near Pucon, Chile.",Uncategorized,304973.33300000004,https://sound-effects-media.bbcrewind.co.uk/zip/07063062.wav.zip?download&rename=BBC_Waterfall__10_metres__near_Puc_07063062
07002248,Osterley House Clock striking 10 o'clock,Uncategorized,28440,https://sound-effects-media.bbcrewind.co.uk/zip/07002248.wav.zip?download&rename=BBC_Osterley_House_Clock_striking__07002248
07002171,Great Tom clock striking 10 o'clock,Uncategorized,68640,https://sound-effects-media.bbcrewind.co.uk/zip/07002171.wav.zip?download&rename=BBC_Great_Tom_clock_striking_10_o__07002171
07070069,"Phone ringing - 10 rings, pick up.",Uncategorized,32973.333,https://sound-effects-media.bbcrewind.co.uk/zip/07070069.wav.zip?download&rename=BBC_Phone_ringing___10_rings__pick_07070069
07055104,"Interior - land, switch off (10 seater).",Uncategorized,211000,https://sound-effects-media.bbcrewind.co.uk/zip/07055104.wav.zip?download&rename=BBC_Interior___land__switch_off__1_07055104
07061048,Jogging machine (Power jog E 10),Uncategorized,180753.33299999998,https://sound-effects-media.bbcrewind.co.uk/zip/07061048.wav.zip?download&rename=BBC_Jogging_machine__Power_jog_E_1_07061048
07038011,"Explorer 10 Satellite, telemetry effects from satellite.",Uncategorized,54369.796,https://sound-effects-media.bbcrewind.co.uk/zip/07038011.wav.zip?download&rename=BBC_Explorer_10_Satellite__telemet_07038011
07054045,"3 metal squeaks (89D) 14"", 10"", 5"".",Uncategorized,36373.333,https://sound-effects-media.bbcrewind.co.uk/zip/07054045.wav.zip?download&rename=BBC_3_metal_squeaks__89D__14___10__07054045
07010190,"A 10"" tenon saw in soft wood.",Uncategorized,24223.946,https://sound-effects-media.bbcrewind.co.uk/zip/07010190.wav.zip?download&rename=BBC_A_10__tenon_saw_in_soft_wood__07010190
07009017,"Vickers VC10, interior, taxis to terminal, slow down, stop, switch off. (Long-range airliner, 4 jet engines.)",Uncategorized,182160,https://sound-effects-media.bbcrewind.co.uk/zip/07009017.wav.zip?download&rename=BBC_Vickers_VC10__interior__taxis__07009017
07009008,"Vickers VC10, exterior, passing overhead. (Long-range airliner, 4 jet engines.)",Uncategorized,51250.385,https://sound-effects-media.bbcrewind.co.uk/zip/07009008.wav.zip?download&rename=BBC_Vickers_VC10__exterior__passin_07009008
07009014,"Vickers VC10, interior, descent. (Long-range airliner, 4 jet engines.)",Uncategorized,297120,https://sound-effects-media.bbcrewind.co.uk/zip/07009014.wav.zip?download&rename=BBC_Vickers_VC10__interior__descen_07009014
07009009,"Vickers VC10, interior, climb into level flight. (Long-range airliner, 4 jet engines.)",Uncategorized,241725.87300000002,https://sound-effects-media.bbcrewind.co.uk/zip/07009009.wav.zip?download&rename=BBC_Vickers_VC10__interior__climb__07009009
07009007,"Vickers VC10, exterior, take off. (Long range-airliner, 4 jet engines.)",Uncategorized,62080,https://sound-effects-media.bbcrewind.co.uk/zip/07009007.wav.zip?download&rename=BBC_Vickers_VC10__exterior__take_o_07009007
07009002,"Vickers VC10, interior, commences to taxi. (Long-range airliner, 4 jet engines.)",Uncategorized,90660,https://sound-effects-media.bbcrewind.co.uk/zip/07009002.wav.zip?download&rename=BBC_Vickers_VC10__interior__commen_07009002
07009016,"Vickers VC10, interior, descends, lands and taxis. (Long-range airliner, 4 jet engines.)",Uncategorized,94160,https://sound-effects-media.bbcrewind.co.uk/zip/07009016.wav.zip?download&rename=BBC_Vickers_VC10__interior__descen_07009016
07009013,"Vickers VC10, interior, constant flight. (Long-range airliner, 4 jet engines.)",Uncategorized,362419.04799999995,https://sound-effects-media.bbcrewind.co.uk/zip/07009013.wav.zip?download&rename=BBC_Vickers_VC10__interior__consta_07009013
07009004,"Vickers VC10, interior, taxis to runway. (Long-range airliner, 4 jet engines.)",Uncategorized,150680,https://sound-effects-media.bbcrewind.co.uk/zip/07009004.wav.zip?download&rename=BBC_Vickers_VC10__interior__taxis__07009004
07002272,"Church clock striking, 10 o'clock. (All Saints Church)",Uncategorized,26600,https://sound-effects-media.bbcrewind.co.uk/zip/07002272.wav.zip?download&rename=BBC_Church_clock_striking__10_o_cl_07002272
07002205,"Outdoor clock striking, 10 o'clock St. Mary's Church",Uncategorized,39480,https://sound-effects-media.bbcrewind.co.uk/zip/07002205.wav.zip?download&rename=BBC_Outdoor_clock_striking__10_o_c_07002205
07032352,"10-ton Travelling Crane, hoist traverses shop floor. (Recorded in cab.)",Uncategorized,177360.454,https://sound-effects-media.bbcrewind.co.uk/zip/07032352.wav.zip?download&rename=BBC_10_ton_Travelling_Crane__hoist_07032352
07070115,"GPO 700 Series - 10 rings, pick up.",Uncategorized,33640,https://sound-effects-media.bbcrewind.co.uk/zip/07070115.wav.zip?download&rename=BBC_GPO_700_Series___10_rings__pic_07070115
07055103,"Interior - start up, take off (10 seater).",Uncategorized,209026.66700000002,https://sound-effects-media.bbcrewind.co.uk/zip/07055103.wav.zip?download&rename=BBC_Interior___start_up__take_off__07055103
07054086,"3 wood creaks (89A) 7"", 7"", 10"".",Uncategorized,34240,https://sound-effects-media.bbcrewind.co.uk/zip/07054086.wav.zip?download&rename=BBC_3_wood_creaks__89A__7___7___10_07054086
07051014,"Trampolining, competition sequence, warm up & 10 display jumps.",Uncategorized,33986.666999999994,https://sound-effects-media.bbcrewind.co.uk/zip/07051014.wav.zip?download&rename=BBC_Trampolining__competition_sequ_07051014
NHU05100029,Nestlings (10 days old) being fed by adult,Uncategorized,65946.667,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05100029.wav.zip?download&rename=BBC_Nestlings__10_days_old__being__NHU05100029
07066177,"10 bells ringing, Parish of St. George, Greenock.",Uncategorized,174773.333,https://sound-effects-media.bbcrewind.co.uk/zip/07066177.wav.zip?download&rename=BBC_10_bells_ringing__Parish_of_St_07066177
07002220,"Outdoor clock striking, 10 o'clock - SS. Peter & Paul",Uncategorized,66560,https://sound-effects-media.bbcrewind.co.uk/zip/07002220.wav.zip?download&rename=BBC_Outdoor_clock_striking__10_o_c_07002220
07025010,"VC 10, Aircraft,exterior, low pass, L - R",Uncategorized,68543.605,https://sound-effects-media.bbcrewind.co.uk/zip/07025010.wav.zip?download&rename=BBC_VC_10__Aircraft_exterior__low__07025010
07025008,"VC 10, Aircraft, exterior, pass over R - L",Uncategorized,60708.140999999996,https://sound-effects-media.bbcrewind.co.uk/zip/07025008.wav.zip?download&rename=BBC_VC_10__Aircraft__exterior__pas_07025008
07009011,"Vickers VC10, exterior, landing. (Long-range airliner, 4 jet engines.)",Uncategorized,69520,https://sound-effects-media.bbcrewind.co.uk/zip/07009011.wav.zip?download&rename=BBC_Vickers_VC10__exterior__landin_07009011
07070076,"Sony mobile (Vodaphone) - switched on, dial 10 digit number.",Uncategorized,11706.667,https://sound-effects-media.bbcrewind.co.uk/zip/07070076.wav.zip?download&rename=BBC_Sony_mobile__Vodaphone____swit_07070076
07002260,"Church clock striking, 10 o'clock. (St. John the Evangelist)",Uncategorized,23640,https://sound-effects-media.bbcrewind.co.uk/zip/07002260.wav.zip?download&rename=BBC_Church_clock_striking__10_o_cl_07002260
07070074,"BT mobile (Cellnet) - switched on, dial 10 digit number.",Uncategorized,11413.333,https://sound-effects-media.bbcrewind.co.uk/zip/07070074.wav.zip?download&rename=BBC_BT_mobile__Cellnet____switched_07070074
07070055,"Pick-up, dial 10 digits on Touch tone phone.",Uncategorized,12346.667,https://sound-effects-media.bbcrewind.co.uk/zip/07070055.wav.zip?download&rename=BBC_Pick_up__dial_10_digits_on_Tou_07070055
07009129,"Mixed 10 to 13 year old schoolchildren entering classroom. (Recorded in London, 1980.)",Uncategorized,92063.22,https://sound-effects-media.bbcrewind.co.uk/zip/07009129.wav.zip?download&rename=BBC_Mixed_10_to_13_year_old_school_07009129
NHU1384-10,,Uncategorized,23026.667,https://sound-effects-media.bbcrewind.co.uk/zip/NHU1384-10.wav.zip?download&rename=BBC__NHU1384-10
07002132,Big Ben recorded prior to repair in 1956. 10 o'clock,Uncategorized,72280,https://sound-effects-media.bbcrewind.co.uk/zip/07002132.wav.zip?download&rename=BBC_Big_Ben_recorded_prior_to_repa_07002132
07010189,"A 10"" tenon saw operating across grain of hard wood.",Uncategorized,39320,https://sound-effects-media.bbcrewind.co.uk/zip/07010189.wav.zip?download&rename=BBC_A_10__tenon_saw_operating_acro_07010189
07042048,"BT Domestic Phone, Statesman model, 10 rings & pick-up.",Uncategorized,30796.666999999998,https://sound-effects-media.bbcrewind.co.uk/zip/07042048.wav.zip?download&rename=BBC_BT_Domestic_Phone__Statesman_m_07042048
07043178,"Sniper, single shot fired from position 10 feet away.",Uncategorized,4833.333,https://sound-effects-media.bbcrewind.co.uk/zip/07043178.wav.zip?download&rename=BBC_Sniper__single_shot_fired_from_07043178
07022300,"Renault 4 saloon, exterior, passing at 10 m.p.h. (1967 model.)",Uncategorized,33901.314999999995,https://sound-effects-media.bbcrewind.co.uk/zip/07022300.wav.zip?download&rename=BBC_Renault_4_saloon__exterior__pa_07022300
07009018,"Vickers VC10, exterior, warm up, taxis away. (Long-range airliner, 4 jet engines.)",Uncategorized,350186.848,https://sound-effects-media.bbcrewind.co.uk/zip/07009018.wav.zip?download&rename=BBC_Vickers_VC10__exterior__warm_u_07009018
07009015,"Vickers VC10, exterior, landing. (Long-range airliner, 4 jet engines.)",Uncategorized,34520,https://sound-effects-media.bbcrewind.co.uk/zip/07009015.wav.zip?download&rename=BBC_Vickers_VC10__exterior__landin_07009015
07009012,"Vickers VC10, exterior, taxis into mid-distance. (Long-range airliner, 4 jet engines.)",Uncategorized,209313.74099999998,https://sound-effects-media.bbcrewind.co.uk/zip/07009012.wav.zip?download&rename=BBC_Vickers_VC10__exterior__taxis__07009012
07009010,"Vickers VC10, exterior, taxi into close-up, switch off. (Long-range airliner, 4 jet engines.)",Uncategorized,98490,https://sound-effects-media.bbcrewind.co.uk/zip/07009010.wav.zip?download&rename=BBC_Vickers_VC10__exterior__taxi_i_07009010
07009006,"Vickers VC10, exterior, taxis away from position. (Long-range airliner, 4 jet engines.)",Uncategorized,149300,https://sound-effects-media.bbcrewind.co.uk/zip/07009006.wav.zip?download&rename=BBC_Vickers_VC10__exterior__taxis__07009006
07009005,"Vickers VC10, interior, taxis into take off. (Long-range airliner, 4 jet engines.)",Uncategorized,145120,https://sound-effects-media.bbcrewind.co.uk/zip/07009005.wav.zip?download&rename=BBC_Vickers_VC10__interior__taxis__07009005
07009003,"Vickers VC10, exterior, start up procedure, run up engines. (Long-range airliner, 4 jet engines.)",Uncategorized,368221.315,https://sound-effects-media.bbcrewind.co.uk/zip/07009003.wav.zip?download&rename=BBC_Vickers_VC10__exterior__start__07009003
07009001,"Vickers VC10, interior, start engines, warm up. (Long-range airliner, 4 jet engines.)",Uncategorized,230844.875,https://sound-effects-media.bbcrewind.co.uk/zip/07009001.wav.zip?download&rename=BBC_Vickers_VC10__interior__start__07009001
NHU1383-10,,Uncategorized,106026.667,https://sound-effects-media.bbcrewind.co.uk/zip/NHU1383-10.wav.zip?download&rename=BBC__NHU1383-10
07065050,"Baby boy, waking up sounds, 10 weeks old, with distant birdsong - 1984 (8B2, reprocessed)",Uncategorized,133266.66700000002,https://sound-effects-media.bbcrewind.co.uk/zip/07065050.wav.zip?download&rename=BBC_Baby_boy__waking_up_sounds__10_07065050
07035110,"Westland Whirlwind, exterior, helicopter circling. (10-seater helicopter with 1 Bristol Siddeley Gnome turbine.)",Uncategorized,199489.297,https://sound-effects-media.bbcrewind.co.uk/zip/07035110.wav.zip?download&rename=BBC_Westland_Whirlwind__exterior___07035110
07044072,Karate shout or kai. (Recorded at 10 metres in large hall.),Uncategorized,4180,https://sound-effects-media.bbcrewind.co.uk/zip/07044072.wav.zip?download&rename=BBC_Karate_shout_or_kai___Recorded_07044072
07035107,"Westland Whirlwind, exterior, approach and land. (10-seater helicopter with 1 Bristol Siddeley Gnome turbine.)",Uncategorized,100989.34199999999,https://sound-effects-media.bbcrewind.co.uk/zip/07035107.wav.zip?download&rename=BBC_Westland_Whirlwind__exterior___07035107
07065047,"Baby boy, waking up sounds, 10 weeks old - 1984 (8B2, reprocessed)",Uncategorized,167746.66700000002,https://sound-effects-media.bbcrewind.co.uk/zip/07065047.wav.zip?download&rename=BBC_Baby_boy__waking_up_sounds__10_07065047
07065046,"Baby boy, waking up sounds, 10 weeks old - 1984 (8B2, reprocessed)",Uncategorized,128160,https://sound-effects-media.bbcrewind.co.uk/zip/07065046.wav.zip?download&rename=BBC_Baby_boy__waking_up_sounds__10_07065046
07025009,"VC 10, Aircraft,exterior, touch down and take off, L - R",Uncategorized,76399.909,https://sound-effects-media.bbcrewind.co.uk/zip/07025009.wav.zip?download&rename=BBC_VC_10__Aircraft_exterior__touc_07025009
07050197,"Primary School, cloak-room atmosphere, mixed infants to 10 year olds.",Uncategorized,105466.667,https://sound-effects-media.bbcrewind.co.uk/zip/07050197.wav.zip?download&rename=BBC_Primary_School__cloak_room_atm_07050197
07038140,"Ford Escort 1300, exterior, passing at 10 mph. (1300cc engine, manual transmission.)",Uncategorized,40080,https://sound-effects-media.bbcrewind.co.uk/zip/07038140.wav.zip?download&rename=BBC_Ford_Escort_1300__exterior__pa_07038140
07042027,"Common Gulls, calls of 10 pairs at breeding colony with lapping water.",Uncategorized,125573.333,https://sound-effects-media.bbcrewind.co.uk/zip/07042027.wav.zip?download&rename=BBC_Common_Gulls__calls_of_10_pair_07042027
07065048,"Baby boy, waking up sounds, 10 weeks old - 1984 (8B2, reprocessed)",Uncategorized,80213.333,https://sound-effects-media.bbcrewind.co.uk/zip/07065048.wav.zip?download&rename=BBC_Baby_boy__waking_up_sounds__10_07065048
07063022,"Cattle, exterior, 10 cows walk past over rough track, with vehicle in distance.",Uncategorized,26469.161,https://sound-effects-media.bbcrewind.co.uk/zip/07063022.wav.zip?download&rename=BBC_Cattle__exterior__10_cows_walk_07063022
07000111,White noise filtered to simulate wind at constant pitch. Wind 10. (3 tones up from Wind 9),Uncategorized,181720.93000000002,https://sound-effects-media.bbcrewind.co.uk/zip/07000111.wav.zip?download&rename=BBC_White_noise_filtered_to_simula_07000111
07065049,"Baby boy, waking up sounds, 10 weeks old, with distant birdsong - 1984 (8B2, reprocessed)",Uncategorized,30453.333000000002,https://sound-effects-media.bbcrewind.co.uk/zip/07065049.wav.zip?download&rename=BBC_Baby_boy__waking_up_sounds__10_07065049
07035108,"Westland Whirlwind, exterior, passing overhead. (10-seater helicopter with 1 Bristol Siddeley Gnome turbine.)",Uncategorized,40980.952000000005,https://sound-effects-media.bbcrewind.co.uk/zip/07035108.wav.zip?download&rename=BBC_Westland_Whirlwind__exterior___07035108
07043222,"USAF Fairchild A-10 Thunderbolt, four fly overhead (some tank engine noise in foreground).",Uncategorized,53980,https://sound-effects-media.bbcrewind.co.uk/zip/07043222.wav.zip?download&rename=BBC_USAF_Fairchild_A_10_Thunderbol_07043222
07035105,"Westland Whirlwind, interior, constant flight. (10-seater helicopter with 1 Bristol Siddeley Gnome turbine.)",Uncategorized,389440,https://sound-effects-media.bbcrewind.co.uk/zip/07035105.wav.zip?download&rename=BBC_Westland_Whirlwind__interior___07035105
NHU05102190,10 half-grown immatures lying on beach with Californian sea lions and American oystercatchers,Uncategorized,271529.84099999996,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05102190.wav.zip?download&rename=BBC_10_half_grown_immatures_lying__NHU05102190
07065051,"Baby boy, waking up sounds, 10 weeks old, with distant birdsong - 1984 (8B2, reprocessed)",Uncategorized,107200,https://sound-effects-media.bbcrewind.co.uk/zip/07065051.wav.zip?download&rename=BBC_Baby_boy__waking_up_sounds__10_07065051
07009125,"Schoolchildren in classroom, mixed 10 to 13 year old pupils giggling. (Recorded in London, 1980.)",Uncategorized,4680,https://sound-effects-media.bbcrewind.co.uk/zip/07009125.wav.zip?download&rename=BBC_Schoolchildren_in_classroom__m_07009125
07009124,"Schoolchildren in classroom, mixed 10 to 13 year old pupils laughing. (Recorded in London, 1980.)",Uncategorized,4000,https://sound-effects-media.bbcrewind.co.uk/zip/07009124.wav.zip?download&rename=BBC_Schoolchildren_in_classroom__m_07009124
07009123,"Schoolchildren in classroom, mixed 10 to 13 year old pupils laughing. (Recorded in London, 1980)",Uncategorized,7574.875,https://sound-effects-media.bbcrewind.co.uk/zip/07009123.wav.zip?download&rename=BBC_Schoolchildren_in_classroom__m_07009123
07043004,"Bedford Truck, exterior, approach, stop & switch off. (10 ton Diesel truck, 6 cylinders, 1984 model.)",Uncategorized,12686.667,https://sound-effects-media.bbcrewind.co.uk/zip/07043004.wav.zip?download&rename=BBC_Bedford_Truck__exterior__appro_07043004
07043002,"Bedford Truck, exterior, start up & drive off. (10 ton Diesel truck, 6 cylinders, 1984 model.)",Uncategorized,17533.333,https://sound-effects-media.bbcrewind.co.uk/zip/07043002.wav.zip?download&rename=BBC_Bedford_Truck__exterior__start_07043002
07035111,"Westland Whirlwind, exterior, two helicopters circling. (10-seater helicopter with 1 Bristol Siddeley Gnome turbine.)",Uncategorized,207600.998,https://sound-effects-media.bbcrewind.co.uk/zip/07035111.wav.zip?download&rename=BBC_Westland_Whirlwind__exterior___07035111
